"","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population","prop_cases","prop_deaths","deaths_per_cases","weeks"
"205","District of Columbia",2020-03-31,495,9,"Tuesday",358,7,"no",2020-07-22,NA,702455,327167434,0.704671473617527,0.0128122086112278,1.81818181818182,4
"206","Florida",2020-03-31,6742,85,"Tuesday",5275,65,"no",2020-05-11,2021-05-04,21299325,327167434,0.316535852661997,0.00399073679564963,1.26075348561258,5
"207","Georgia",2020-03-31,4116,126,"Tuesday",3021,88,"no",2020-04-24,2021-05-01,10519475,327167434,0.391274279372307,0.0119777840624176,3.06122448979592,5
"208","Guam",2020-03-31,139,2,"Tuesday",107,1,"no",NA,NA,NA,NA,NA,NA,1.43884892086331,3
"209","Hawaii",2020-03-31,224,1,"Tuesday",134,1,"no",2020-11-16,NA,1420491,327167434,0.157691952993718,0.000703981933007671,0.446428571428571,4
"210","Idaho",2020-03-31,526,9,"Tuesday",453,9,"no",NA,NA,1754208,327167434,0.299850416826283,0.00513052043999343,1.71102661596958,3
"211","Illinois",2020-03-31,5992,107,"Tuesday",4457,91,"no",2020-05-01,2021-06-11,12741080,327167434,0.470289802748276,0.00839803219193349,1.78571428571429,10
"212","Indiana",2020-03-31,2177,61,"Tuesday",1806,44,"no",2020-07-27,2021-04-06,6691878,327167434,0.325319738345499,0.00911552780848665,2.80202112999541,4
"213","Iowa",2020-03-31,498,7,"Tuesday",374,6,"no",2020-11-17,2021-02-07,3156145,327167434,0.157787427383723,0.00221789556563466,1.40562248995984,4
"214","Kansas",2020-03-31,435,10,"Tuesday",333,7,"no",2020-07-03,2021-04-01,2911505,327167434,0.149407265314674,0.00343464977734883,2.29885057471264,4
"215","Kentucky",2020-03-31,590,18,"Tuesday",433,15,"no",2020-07-10,2021-06-11,4468402,327167434,0.132038254391615,0.00402828572720181,3.05084745762712,4
"216","Louisiana",2020-03-31,5237,240,"Tuesday",3849,194,"no",2020-08-07,2021-04-28,4659978,327167434,1.12382504810109,0.0515023890670728,4.58277639870155,4
"217","Maine",2020-03-31,303,5,"Tuesday",185,5,"no",2020-05-01,2021-05-24,1338404,327167434,0.226389042471481,0.00373579278005744,1.65016501650165,3
"218","Maryland",2020-03-31,1662,18,"Tuesday",1313,14,"no",2020-04-18,2021-05-15,6042718,327167434,0.275041794106559,0.00297879199393386,1.08303249097473,4
"219","Massachusetts",2020-03-31,6620,89,"Tuesday",5461,78,"no",2020-05-06,2021-05-29,6902149,327167434,0.959121572136446,0.0128945347311395,1.34441087613293,9
"220","Michigan",2020-03-31,7629,264,"Tuesday",5838,240,"no",2020-04-27,2020-10-02,9995915,327167434,0.763211772008866,0.0264107888072278,3.46047974832875,4
"221","Minnesota",2020-03-31,629,12,"Tuesday",365,11,"no",2020-07-25,2021-05-14,5611179,327167434,0.112097653630369,0.00213858798658891,1.90779014308426,4
"222","Mississippi",2020-03-31,937,20,"Tuesday",617,19,"no",2020-08-05,2020-09-30,2986530,327167434,0.313742035070801,0.00669673500684741,2.13447171824973,3
"223","Missouri",2020-03-31,1350,15,"Tuesday",1095,10,"no",NA,NA,6126452,327167434,0.220355925419803,0.00244839917133114,1.11111111111111,4
"224","Montana",2020-03-31,198,5,"Tuesday",147,5,"no",2020-07-15,2021-02-12,1062305,327167434,0.186387148700232,0.00470674617929879,2.52525252525253,3
"225","Nebraska",2020-03-31,199,4,"Tuesday",122,4,"no",NA,NA,1929268,327167434,0.103147929681102,0.00207332521972064,2.01005025125628,7
"226","Nevada",2020-03-31,1113,26,"Tuesday",798,20,"no",2020-06-26,NA,3034392,327167434,0.366795061415928,0.00856843809237567,2.33602875112309,4
"227","New Hampshire",2020-03-31,367,3,"Tuesday",259,2,"no",2020-11-20,2021-04-16,1356458,327167434,0.270557584532658,0.00221164238037595,0.817438692098093,5
"228","New Jersey",2020-03-31,18696,267,"Tuesday",15021,223,"no",2020-04-08,2021-05-28,8908520,327167434,2.09866509813078,0.0299713083654749,1.42811296534018,4
"229","New Mexico",2020-03-31,315,5,"Tuesday",215,5,"no",2020-05-15,NA,2095428,327167434,0.150327283972535,0.0023861473646434,1.58730158730159,3
"230","New York",2020-03-31,76211,1929,"Tuesday",50507,1665,"no",2020-04-17,NA,19542209,327167434,3.89981501067766,0.0987094140687985,2.53113067667397,5
"231","North Carolina",2020-03-31,1527,10,"Tuesday",1130,10,"no",2020-06-26,2021-05-14,10383620,327167434,0.147058540277861,0.000963055273594373,0.654878847413229,5
"232","North Dakota",2020-03-31,126,3,"Tuesday",89,3,"no",2020-11-14,2021-01-18,760077,327167434,0.165772678294436,0.0039469685308199,2.38095238095238,3
"233","Northern Mariana Islands",2020-03-31,2,0,"Tuesday",0,0,"no",NA,NA,NA,NA,NA,NA,0,1
"234","Ohio",2020-03-31,2199,55,"Tuesday",1635,47,"no",2020-07-23,2021-06-02,11689442,327167434,0.188118474774074,0.00470510055142068,2.50113688040018,4
"235","Oklahoma",2020-03-31,566,23,"Tuesday",460,20,"no",NA,NA,3943079,327167434,0.143542647763334,0.00583300512112489,4.06360424028269,4
"236","Oregon",2020-03-31,690,18,"Tuesday",481,10,"no",2020-07-01,2021-06-30,4190713,327167434,0.164649786325143,0.00429521181717765,2.60869565217391,5
"237","Pennsylvania",2020-03-31,4997,72,"Tuesday",4146,64,"no",2020-07-01,2021-06-28,12807060,327167434,0.390175418870529,0.00562189917123836,1.44086451871123,4
"238","Puerto Rico",2020-03-31,239,8,"Tuesday",200,6,"no",NA,NA,NA,NA,NA,NA,3.34728033472803,3
"239","Rhode Island",2020-03-31,488,8,"Tuesday",364,8,"no",2020-05-08,2021-07-06,1057315,327167434,0.461546464393298,0.00756633548185735,1.63934426229508,5
"240","South Carolina",2020-03-31,1083,22,"Tuesday",741,14,"no",2020-08-03,2021-05-11,5084127,327167434,0.213015921907537,0.00432719324281238,2.03139427516159,4
"241","South Dakota",2020-03-31,107,1,"Tuesday",77,0,"no",NA,NA,882235,327167434,0.121282878144712,0.00113348484247394,0.934579439252336,4
"242","Tennessee",2020-03-31,2049,13,"Tuesday",1371,11,"no",NA,NA,6770010,327167434,0.302658341715891,0.00192023350039365,0.634455832113226,4
"243","Texas",2020-03-31,3588,57,"Tuesday",2731,46,"no",2020-07-03,2021-03-10,28701845,327167434,0.125009385285162,0.00198593505051679,1.58862876254181,7
"244","Utah",2020-03-31,887,5,"Tuesday",588,4,"no",2020-04-10,2020-05-01,3161105,327167434,0.280598081999807,0.00158172537767648,0.56369785794814,6
"245","Vermont",2020-03-31,293,13,"Tuesday",198,6,"no",2020-08-01,2021-06-14,626299,327167434,0.467827666976955,0.02075685894437,4.43686006825939,4
"246","Virgin Islands",2020-03-31,30,0,"Tuesday",13,0,"no",NA,NA,NA,NA,NA,NA,0,3
"247","Virginia",2020-03-31,1249,12,"Tuesday",958,5,"no",2020-05-29,2021-05-15,8517685,327167434,0.146636087152789,0.00140883350346955,0.960768614891913,4
