"","X","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population","prop_cases","prop_deaths","deaths_per_cases","weeks","cases_proyected","deaths_proyected","new_cases_proyected","new_deaths_proyected"
"1164",2901,"Florida",2021-03-09,1952725,31888,"Tuesday",34633,754,"yes","2020-05-11","2021-05-04",21299325,327167434,91.680135403352,1.49713664634912,1.63300003840787,54,1938186.93343384,31605.4984233332,38691.9558804268,849.658791453945
"1165",2902,"Georgia",2021-03-09,1001341,17418,"Tuesday",14373,482,"yes","2020-04-24","2021-05-01",10519475,327167434,95.1892561178196,1.65578605396182,1.73946737425113,54,997554.424572808,17210.0092286053,20856.5590888892,442.051065646079
"1166",2906,"Illinois",2021-03-09,1204693,23039,"Tuesday",11833,236,"yes","2020-05-01","2021-06-11",12741080,327167434,94.5518747233359,1.8082454548594,1.91243744256836,59,1199128.56873482,22941.7563006135,12391.2307073246,247.43231455085
"1167",2907,"Indiana",2021-03-09,671570,12762,"Tuesday",5608,139,"yes","2020-07-27","2021-04-06",6691878,327167434,100.355983776154,1.90708796544109,1.90032312342719,53,668847.141189375,12710.3993989522,5335.82548241608,149.433283355229
"1168",2909,"Kansas",2021-03-09,299523,4816,"Tuesday",2063,73,"yes","2020-07-03","2021-04-01",2911505,327167434,102.875660526085,1.6541273327712,1.60788987823973,53,298755.919815927,4793.80479139361,1682.29284401337,27.566196172761
"1169",2910,"Kentucky",2021-03-09,415393,5001,"Tuesday",5550,179,"yes","2020-07-10","2021-06-11",4468402,327167434,92.9623162821966,1.11919205120757,1.20392014309341,53,413337.182725098,4917.77998887525,6274.86471801688,207.53372887122
"1170",2911,"Louisiana",2021-03-09,434926,9769,"Tuesday",3655,122,"yes","2020-08-07","2021-04-28",4659978,327167434,93.3322002807738,2.09636182831764,2.24612922658107,53,433906.462305143,9719.81621301964,5003.01005158428,126.546082394627
"1171",2912,"Maine",2021-03-09,46059,723,"Tuesday",1115,20,"yes","2020-05-01","2021-05-24",1338404,327167434,34.4133759313331,0.540195635996306,1.56972578649124,52,45560.4549720631,725.539430459513,1332.26965588556,60.9928784289817
"1172",2913,"Maryland",2021-03-09,388848,7988,"Tuesday",5496,83,"yes","2020-04-18","2021-05-15",6042718,327167434,64.3498505142884,1.3219216915302,2.05427313500391,53,386153.411204006,7977.48492531968,5610.54253119213,139.380091951123
"1173",2914,"Massachusetts",2021-03-09,593607,16456,"Tuesday",10763,274,"yes","2020-05-06","2021-05-29",6902149,327167434,86.0032143612084,2.38418498354643,2.77220450567463,58,588454.482766985,16333.6041946668,10984.2420244203,290.206798478799
"1174",2916,"Minnesota",2021-03-09,492176,6764,"Tuesday",6453,206,"yes","2020-07-25","2021-05-14",5611179,327167434,87.7134734072821,1.20545076177395,1.37430512662137,53,488529.131510187,6586.18060863316,5611.53947244526,57.0112571309737
"1175",2922,"New Hampshire",2021-03-09,77252,1185,"Tuesday",1449,15,"yes","2020-11-20","2021-04-16",1356458,327167434,56.9512657229343,0.8735987402485,1.53394086884482,54,76760.8541862016,1177.57289459206,1445.48039390295,12.9540565801922
"1176",2923,"New Jersey",2021-03-09,819042,23635,"Tuesday",23257,314,"yes","2020-04-08","2021-05-28",8908520,327167434,91.9391773268736,2.65307817684643,2.88568840181578,53,807811.226544276,23494.4152764967,24719.8278084168,272.072379114496
"1177",2926,"North Carolina",2021-03-09,877212,11577,"Tuesday",12556,257,"yes","2020-06-26","2021-05-14",10383620,327167434,84.4803642660267,1.11492909024021,1.31974938783327,54,873285.488874567,11479.8220757346,15625.496067785,269.314088320421
"1178",2929,"Ohio",2021-03-09,981619,17662,"Tuesday",11036,912,"yes","2020-07-23","2021-06-02",11689442,327167434,83.9748381488184,1.51093610798531,1.79927242647096,53,976858.339705353,16640.0913262866,11186.7597187732,-597.516101396359
"1179",2931,"Oregon",2021-03-09,158029,2309,"Tuesday",1941,78,"yes","2020-07-01","2021-06-30",4190713,327167434,37.7093349031537,0.5509802269924,1.46112422403483,54,157324.02827886,2261.61899826674,2275.01523415139,73.928478860551
